DAYWEEK,DAYMONTH,DAYYEAR,CANTIDAD_TOTAL
3,28,240,130
5,29,333,160
3,28,87,8
6,4,308,6
6,21,355,169
7,4,216,100
7,5,,370
2,28,332,7
3,22,326,2
4,28,59,8
1,27,27,146
5,29,150,158
5,30,,147
3,5,,208
7,17,138,175
6,1,152,15
6,23,174,15
4,16,136,8
7,10,344,2
5,17,108,168
5,22,356,7
2,14,,426
4,9,9,122
6,16,47,4
3,29,120,170
1,20,111,165
2,7,127,9
7,31,365,7
1,2,336,174
3,13,164,4
6,31,243,126
4,25,,256
3,11,345,178
3,8,99,173
6,5,125,5
4,10,,155
1,13,317,8
7,16,47,129
1,4,155,7
4,22,234,64
3,1,305,6
5,28,362,10
1,9,,504
7,19,323,6
7,26,,413
6,10,222,88
1,30,364,158
5,10,314,7
3,7,66,9
4,20,263,7
3,19,,210
5,7,38,165
6,14,195,10
2,25,56,103
3,13,347,11
7,2,245,7
3,20,141,199
5,12,285,12
6,18,18,161
1,31,,12
2,30,303,12
7,21,111,5
3,15,135,9
4,7,38,8
7,26,117,153
6,1,335,11
5,22,173,5
6,21,,501
7,25,84,5
1,6,126,15
7,21,294,10
4,14,165,4
6,20,20,6
2,5,156,6
7,4,,116
7,18,49,2
2,11,254,8
5,16,75,5
6,29,272,7
1,4,338,5
5,16,,151
3,3,276,7
4,11,11,9
4,2,184,83
5,27,208,10
3,24,176,200
7,12,224,9
6,18,322,3
2,17,260,134
4,11,284,7
5,2,306,4
6,6,158,216
1,29,302,6
2,20,324,9
4,14,348,5
2,6,65,9
4,21,142,185
6,15,166,14
1,10,344,10
6,2,33,10
7,22,82,147
7,3,124,177
3,20,51,10
7,7,,294
3,4,,484
6,25,116,184
1,13,13,123
3,19,353,14
3,24,24,8
7,25,,170
6,20,293,9
7,11,315,11
3,2,214,3
2,27,58,3
7,7,97,11
3,29,211,68
3,22,,390
7,8,251,141
7,30,273,9
2,21,233,10
3,12,255,7
6,30,334,152
4,15,74,10
5,6,96,5
2,2,275,8
1,20,202,79
4,9,,344
4,30,242,8
5,21,264,5
1,27,331,3
2,5,339,6
6,,,8585
1,1,1,5
1,12,,162
4,28,271,2
5,15,,369
1,15,167,198
5,25,237,3
1,24,175,11
3,18,199,7
2,12,133,201
4,6,157,11
7,10,253,3
5,4,277,123
2,31,91,131
4,25,115,15
7,13,286,118
5,11,223,5
1,10,161,14
2,22,295,165
3,4,185,9
4,7,311,157
4,28,,368
6,23,357,8
2,3,337,178
5,1,244,4
2,19,262,8
1,25,329,108
1,28,148,5
5,8,67,14
3,23,143,7
2,7,98,160
4,16,107,149
4,26,269,119
4,31,304,121
5,13,73,191
1,11,42,4
1,14,134,6
2,17,,462
4,11,101,13
5,23,235,89
2,16,106,7
6,20,,289
2,2,92,13
6,11,193,63
5,6,279,3
4,12,346,189
6,30,151,163
1,5,217,92
1,30,,473
3,4,64,149
4,9,313,4
3,14,226,128
6,2,,335
7,15,288,2
2,6,310,9
3,12,43,166
6,20,172,189
1,6,188,69
2,31,212,9
5,7,250,2
7,1,274,4
1,18,352,6
1,25,146,192
3,19,170,14
5,2,61,7
4,7,128,188
3,3,,264
4,25,298,7
7,20,232,6
4,26,86,132
5,25,25,4
2,12,316,136
4,6,340,6
7,3,307,178
1,9,190,5
1,24,358,13
7,22,265,126
1,29,119,7
2,29,241,8
4,21,325,151
2,17,77,138
4,10,130,3
7,28,209,39
5,13,256,168
5,21,52,174
2,10,283,5
6,28,301,5
2,20,79,9
3,15,197,78
4,29,88,6
2,1,121,12
5,19,200,37
1,15,15,7
4,19,292,5
7,16,259,5
3,4,247,142
6,4,4,140
2,16,289,9
3,22,22,127
3,10,191,34
5,17,229,10
2,10,100,5
3,29,149,9
4,8,,195
1,3,184,5
7,30,211,5
4,27,,212
1,3,34,189
1,11,,282
4,15,319,3
7,12,103,156
6,19,139,6
7,24,,372
3,21,,131
3,27,361,4
5,14,,185
6,28,118,7
6,9,160,5
3,14,45,8
3,12,193,4
1,29,,253
6,15,349,5
5,23,54,5
6,1,,218
7,6,,204
4,19,109,4
7,11,70,6
1,5,36,6
7,7,280,7
5,31,31,148
2,16,,204
6,19,,131
2,25,268,6
6,6,6,6
7,26,238,13
4,22,,84
5,20,,494
7,2,33,148
5,14,45,141
6,8,39,164
3,26,57,119
3,24,,317
4,20,51,237
6,18,,440
1,28,,132
7,16,,156
2,14,134,12
3,27,178,9
2,26,,347
3,8,128,15
4,21,172,9
1,20,140,10
4,2,122,11
5,15,166,6
7,27,27,3
7,24,358,5
4,12,72,174
2,24,84,158
7,3,154,3
1,18,169,11
5,27,270,148
1,16,350,130
3,4,338,175
3,6,157,7
7,15,258,136
4,5,278,8
7,1,335,170
2,3,63,130
7,31,152,196
7,21,202,25
2,17,290,3
5,13,347,192
7,23,54,142
3,25,359,166
3,9,,164
5,20,293,6
5,22,143,152
6,4,,376
6,16,137,193
3,7,311,5
5,6,,466
6,6,187,24
7,19,231,11
2,13,317,4
7,6,6,2
5,15,349,12
5,27,87,187
1,30,273,128
6,9,343,5
6,11,131,12
6,12,12,7
7,24,175,7
7,25,56,5
5,17,137,8
6,21,81,181
6,30,181,6
3,30,30,6
3,5,36,178
4,7,,381
1,2,275,3
4,3,3,7
2,12,163,12
6,21,264,133
5,16,47,3
1,14,,159
3,18,78,142
3,11,284,8
6,7,341,241
7,29,302,10
1,9,69,183
2,30,211,31
4,12,255,163
7,30,,31
1,4,63,6
2,17,107,9
2,31,365,200
2,3,246,118
1,27,,415
7,17,,353
4,5,95,5
3,22,234,10
5,21,,202
3,3,184,64
5,29,272,1
6,4,216,9
6,23,266,7
2,12,346,4
6,10,314,7
7,23,204,5
3,9,282,145
1,7,219,4
2,19,140,178
4,3,276,133
2,27,,138
6,20,110,9
3,28,332,6
5,1,122,220
6,17,,143
1,21,294,125
6,12,285,124
2,22,234,5
5,18,291,140
6,10,41,10
1,3,246,8
5,5,95,10
5,4,216,5
6,8,189,3
3,20,263,2
6,16,320,118
3,9,9,9
1,21,21,7
3,30,303,122
7,14,104,7
7,26,208,75
4,28,332,160
3,3,3,8
3,24,205,85
6,24,83,12
1,15,196,62
4,7,66,9
4,1,32,6
1,9,252,154
1,23,113,10
5,12,193,47
3,23,,168
6,14,287,3
4,28,149,170
1,17,48,196
7,10,131,157
4,1,305,6
6,28,362,170
1,19,323,4
3,18,261,152
4,23,143,12
2,24,205,6
6,3,,156
7,3,337,10
4,21,355,10
4,6,,189
7,13,225,5
2,9,161,185
5,6,187,11
5,18,18,7
1,17,198,4
6,2,245,10
3,26,207,5
7,5,125,14
2,23,113,6
6,30,364,7
2,30,30,10
1,30,90,157
1,19,50,6
3,28,59,5
1,13,225,12
2,10,344,122
1,25,84,4
5,7,,198
3,10,,205
7,31,,213
1,13,,299
5,31,243,12
7,30,181,10
1,23,296,5
4,19,353,175
6,14,104,3
2,30,182,140
4,27,178,13
6,21,202,10
6,15,258,4
3,17,290,6
1,26,238,123
5,24,328,7
7,9,160,7
1,12,71,5
5,12,164,161
7,15,196,4
5,8,39,11
3,1,1,99
4,14,45,11
1,4,308,140
4,24,,129
2,7,7,158
7,31,90,10
1,15,,283
2,13,,154
6,31,,130
2,28,,501
2,11,192,4
2,5,36,8
6,16,75,7
7,29,119,11
6,16,,336
1,8,98,13
6,17,229,124
7,18,,154
7,21,21,7
1,30,211,10
1,26,,150
7,30,364,7
3,15,319,6
1,24,267,9
5,12,12,7
4,8,220,180
7,5,187,62
5,10,10,192
6,23,54,3
4,16,16,171
4,12,193,8
7,27,300,104
2,10,,422
2,5,248,3
4,14,257,5
7,3,,387
4,31,151,3
4,18,18,6
5,8,,352
1,4,125,194
4,5,,449
4,2,93,173
4,27,361,9
5,4,124,11
7,13,133,13
5,22,81,7
6,27,27,5
2,9,9,5
4,21,,381
3,13,72,7
1,15,288,6
2,21,21,138
3,6,340,5
2,9,190,58
4,16,228,5
7,14,166,263
7,26,146,10
2,25,176,9
1,16,,367
7,28,,279
2,1,213,5
3,13,134,171
3,25,,428
5,7,158,11
5,19,,259
4,23,,384
5,26,116,9
7,20,140,6
5,16,320,8
6,29,210,5
7,10,41,7
5,3,3,142
2,3,184,13
7,25,329,8
2,29,149,1
2,22,142,6
1,25,,334
2,7,219,11
4,22,53,10
1,6,310,5
7,16,350,11
7,19,,461
1,13,104,112
3,7,,164
3,17,107,16
2,29,,134
6,15,,189
2,12,,384
4,30,30,145
7,1,,442
6,6,279,7
2,13,44,7
3,11,101,6
7,14,14,9
5,20,110,11
6,6,,258
6,25,237,11
7,16,167,7
7,22,356,105
2,11,,160
2,11,42,124
1,2,92,3
6,3,62,9
2,23,175,161
7,2,,181
4,6,249,4
2,18,169,8
3,3,155,180
6,5,,170
6,19,231,8
7,12,12,121
5,26,299,9
3,22,113,165
4,24,24,7
4,20,201,4
3,8,,496
